trial_id,run_name,run_dir,model,learning_rate,hidden_size,ECE,RMSE,R2,grad_norm,timestep,task,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,train_path,val_path,test_path,max_features,max_seq_len,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_grad_norm,final_rmse,final_r2,training_time,num_parameters
11,h32_lr0.0005,results/hyperparameter_tuning\lstm\runs\h32_lr0.0005,lstm,0.0005,32,0.0003701177383875108,0.006510949530731881,0.16442905488867388,0.0023368289152934404,20,regression,20,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,32,1,32,1,32,3,0.005951763260725293,20,0.005951763260725293,0.005873495257719799,0.0003701177383875108,0.0023368289152934404,0.006510949530731881,0.16442905488867388,57.31780479999725,24960.0
12,h32_lr0.0005,results/hyperparameter_tuning\lstm\runs\h32_lr0.0005,lstm,0.0005,32,0.00013395355406006982,0.006503721185542548,0.16618876046089393,0.002344723695559057,30,regression,30,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,32,1,32,1,32,3,0.005938415044858571,20,0.005938415044858571,0.005891509052433293,0.00013395355406006982,0.002344723695559057,0.006503721185542548,0.16618876046089393,75.56104869995033,24960.0
13,h64_lr0.001,results/hyperparameter_tuning\lstm\runs\h64_lr0.001,lstm,0.001,64,0.0002577187772461462,0.006384624707269049,0.1965948767965181,0.002283412547785214,10,regression,10,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,64,1,64,1,64,3,0.005719305505764853,19,0.005723125378111589,0.005566837247791018,0.0002577187772461462,0.002283412547785214,0.006384624707269049,0.1965948767965181,51.964372600021306,57984.0
14,h64_lr0.001,results/hyperparameter_tuning\lstm\runs\h64_lr0.001,lstm,0.001,64,9.649568468356011e-05,0.006392601818636845,0.19452886758723775,0.0023349540380434167,20,regression,20,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,64,1,64,1,64,3,0.005723241449716224,19,0.005737362611140554,0.005520957486528112,9.649568468356011e-05,0.0023349540380434167,0.006392601818636845,0.19452886758723775,85.83316609996837,57984.0
15,h64_lr0.001,results/hyperparameter_tuning\lstm\runs\h64_lr0.001,lstm,0.001,64,0.0001535311777514571,0.006363859883260956,0.20166506678908924,0.0024076653433219917,30,regression,30,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,64,1,64,1,64,3,0.005679342121847214,19,0.00568575227512948,0.005517212058195556,0.0001535311777514571,0.0024076653433219917,0.006363859883260956,0.20166506678908924,111.8576070999843,57984.0
16,h64_lr0.01,results/hyperparameter_tuning\lstm\runs\h64_lr0.01,lstm,0.01,64,0.0002646811044588999,0.006460972027575404,0.17726576353584578,0.0018443517037687817,10,regression,10,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,64,1,64,1,64,3,0.005750107468518707,7,0.005860817983516098,0.005139972139359864,0.0002646811044588999,0.0018443517037687817,0.006460972027575404,0.17726576353584578,48.26332399999956,57984.0
17,h64_lr0.01,results/hyperparameter_tuning\lstm\runs\h64_lr0.01,lstm,0.01,64,0.0001828398965480583,0.006500365348404113,0.16714345067121228,0.0017794459989994506,20,regression,20,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,64,1,64,1,64,3,0.005742719804064679,7,0.005932428684027963,0.005061305889183289,0.0001828398965480583,0.0017794459989994506,0.006500365348404113,0.16714345067121228,73.55157989996951,57984.0
18,h64_lr0.01,results/hyperparameter_tuning\lstm\runs\h64_lr0.01,lstm,0.01,64,0.0006405109016791797,0.006507685325398565,0.16517200355900008,0.001784873488903224,30,regression,30,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,64,1,64,1,64,3,0.005726826814634185,10,0.005945656355470419,0.00495188084819319,0.0006405109016791797,0.001784873488903224,0.006507685325398565,0.16517200355900008,96.13142250000965,57984.0
19,h64_lr0.0001,results/hyperparameter_tuning\lstm\runs\h64_lr0.0001,lstm,0.0001,64,0.0003286286730950996,0.00658981347822313,0.14412548865571229,0.0022879083696064188,10,regression,10,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,64,1,64,1,64,3,0.006096895544108041,20,0.006096895544108041,0.006056430276735249,0.0003286286730950996,0.0022879083696064188,0.00658981347822313,0.14412548865571229,54.45278180000605,57984.0
20,h64_lr0.0001,results/hyperparameter_tuning\lstm\runs\h64_lr0.0001,lstm,0.0001,64,0.0003637850642904428,0.006573190102336735,0.14837763650469116,0.00239116519626648,20,regression,20,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,64,1,64,1,64,3,0.006066097375930201,20,0.006066097375930201,0.006012774045125029,0.0003637850642904428,0.00239116519626648,0.006573190102336735,0.14837763650469116,77.63120669999626,57984.0
21,h64_lr0.0001,results/hyperparameter_tuning\lstm\runs\h64_lr0.0001,lstm,0.0001,64,0.00032416170746493614,0.006565971704370215,0.15015068422473477,0.0028175855522808574,30,regression,30,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,64,1,64,1,64,3,0.006052638533254785,20,0.006052638533254785,0.006038247629272115,0.00032416170746493614,0.0028175855522808574,0.006565971704370215,0.15015068422473477,124.3135115999612,57984.0
22,h64_lr0.0005,results/hyperparameter_tuning\lstm\runs\h64_lr0.0005,lstm,0.0005,64,0.0001854156601523558,0.006412448599007071,0.18957721586209175,0.002629866975214458,10,regression,10,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,64,1,64,1,64,3,0.005773116239183342,20,0.005773116239183342,0.00568206900274816,0.0001854156601523558,0.002629866975214458,0.006412448599007071,0.18957721586209175,67.1655564000248,57984.0
23,h64_lr0.0005,results/hyperparameter_tuning\lstm\runs\h64_lr0.0005,lstm,0.0005,64,0.0001179860798614793,0.006418428399500145,0.18800739546317768,0.0025972222813392684,20,regression,20,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,64,1,64,1,64,3,0.005782898473430264,19,0.005783814907153236,0.005648578528093928,0.0001179860798614793,0.0025972222813392684,0.006418428399500145,0.18800739546317768,90.06061600003159,57984.0
24,h64_lr0.0005,results/hyperparameter_tuning\lstm\runs\h64_lr0.0005,lstm,0.0005,64,0.00041263759465261,0.006393004901213011,0.1943359406734172,0.0026245544425115177,30,regression,30,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,64,1,64,1,64,3,0.005737950278506164,20,0.005737950278506164,0.0056468470555768304,0.00041263759465261,0.0026245544425115177,0.006393004901213011,0.1943359406734172,94.61278859997401,57984.0
25,h128_lr0.001,results/hyperparameter_tuning\lstm\runs\h128_lr0.001,lstm,0.001,128,0.00029027654228726887,0.006358402048332707,0.20318074703789357,0.0024693907811860977,10,regression,10,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,128,1,128,1,128,3,0.00566840587068618,18,0.00567621028185198,0.005413248998393423,0.00029027654228726887,0.0024693907811860977,0.006358402048332707,0.20318074703789357,72.95362469996326,148608.0
26,h128_lr0.001,results/hyperparameter_tuning\lstm\runs\h128_lr0.001,lstm,0.001,128,0.00014126409853086974,0.006374558495626327,0.19906938669684826,0.0026600772308797644,20,regression,20,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,128,1,128,1,128,3,0.005694662987270773,19,0.005705020582900268,0.005342121091660783,0.00014126409853086974,0.0026600772308797644,0.006374558495626327,0.19906938669684826,114.07316400000127,148608.0
27,h128_lr0.001,results/hyperparameter_tuning\lstm\runs\h128_lr0.001,lstm,0.001,128,0.00015099193835574682,0.006347847936616802,0.20567735342898386,0.002735882016185928,30,regression,30,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,128,1,128,1,128,3,0.005654615289982288,18,0.005657176687832802,0.005332273168033436,0.00015099193835574682,0.002735882016185928,0.006347847936616802,0.20567735342898386,142.68002060003346,148608.0
28,h128_lr0.01,results/hyperparameter_tuning\lstm\runs\h128_lr0.01,lstm,0.01,128,0.00044820859891411396,0.006549647899419666,0.15452697589958675,0.0018801715453689808,10,regression,10,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,128,1,128,1,128,3,0.005711166394548011,6,0.006022799654489325,0.00477202019913665,0.00044820859891411396,0.0018801715453689808,0.006549647899419666,0.15452697589958675,52.285574300040025,148608.0
29,h128_lr0.01,results/hyperparameter_tuning\lstm\runs\h128_lr0.01,lstm,0.01,128,0.001003992913651626,0.006605295698415628,0.14003811903716634,0.0018583564270299292,20,regression,20,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,128,1,128,1,128,3,0.005730024476185547,6,0.006125499720148968,0.004555867246705997,0.001003992913651626,0.0018583564270299292,0.006605295698415628,0.14003811903716634,92.06827160000103,148608.0
30,h128_lr0.01,results/hyperparameter_tuning\lstm\runs\h128_lr0.01,lstm,0.01,128,0.0002955374072236384,0.0065701369395616705,0.1490721096557316,0.0017701226768936274,30,regression,30,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,128,1,128,1,128,3,0.00568638940131472,6,0.006060319995928196,0.00457897031666535,0.0002955374072236384,0.0017701226768936274,0.0065701369395616705,0.1490721096557316,124.45248779997928,148608.0
31,h128_lr0.0001,results/hyperparameter_tuning\lstm\runs\h128_lr0.0001,lstm,0.0001,128,0.0003508907397537262,0.006471066141943095,0.17469300488468453,0.0029831603878208214,10,regression,10,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,128,1,128,1,128,3,0.0058791452692341555,20,0.0058791452692341555,0.005815217126874724,0.0003508907397537262,0.0029831603878208214,0.006471066141943095,0.17469300488468453,78.00020349997794,148608.0
32,h128_lr0.0001,results/hyperparameter_tuning\lstm\runs\h128_lr0.0001,lstm,0.0001,128,0.00039112482566027975,0.006468267795568874,0.1753481146583884,0.0035448744809337307,20,regression,20,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,128,1,128,1,128,3,0.005873987034772632,20,0.005873987034772632,0.005783520448356242,0.00039112482566027975,0.0035448744809337307,0.006468267795568874,0.1753481146583884,117.75325419998262,148608.0
33,h128_lr0.0001,results/hyperparameter_tuning\lstm\runs\h128_lr0.0001,lstm,0.0001,128,0.0003931031398326835,0.006451917678618709,0.17941882339481519,0.003946261490828483,30,regression,30,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,128,1,128,1,128,3,0.005844190260094981,20,0.005844190260094981,0.0057986748299084815,0.0003931031398326835,0.003946261490828483,0.006451917678618709,0.17941882339481519,148.07719430001453,148608.0
34,h128_lr0.0005,results/hyperparameter_tuning\lstm\runs\h128_lr0.0005,lstm,0.0005,128,0.00011639997430543144,0.0063756253322659355,0.19885814166512472,0.002470206319382085,10,regression,10,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,128,1,128,1,128,3,0.005703999636906017,19,0.005707002907376928,0.005545188707334024,0.00011639997430543144,0.002470206319382085,0.0063756253322659355,0.19885814166512472,71.87453359999927,148608.0
35,h128_lr0.0005,results/hyperparameter_tuning\lstm\runs\h128_lr0.0005,lstm,0.0005,128,8.22537466786834e-05,0.0063715679811930225,0.19982069605533792,0.0028063391164219157,20,regression,20,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,128,1,128,1,128,3,0.005699669072484966,20,0.005699669072484966,0.005480327929333789,8.22537466786834e-05,0.0028063391164219157,0.0063715679811930225,0.19982069605533792,114.79539059998933,148608.0
36,h128_lr0.0005,results/hyperparameter_tuning\lstm\runs\h128_lr0.0005,lstm,0.0005,128,0.00036691407363245926,0.006351111561900809,0.204860371702848,0.002825938809973441,30,regression,30,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,128,1,128,1,128,3,0.005656851102267543,18,0.005662995254801166,0.005496651577525698,0.00036691407363245926,0.002825938809973441,0.006351111561900809,0.204860371702848,145.42927400005283,148608.0
37,h256_lr0.001,results/hyperparameter_tuning\lstm\runs\h256_lr0.001,lstm,0.001,256,0.0005453571206858543,0.006354155160202439,0.20424481064521838,0.0027092710645818642,10,regression,10,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,256,1,256,1,256,3,0.005655586220247229,17,0.005668630333828558,0.00524170860759134,0.0005453571206858543,0.0027092710645818642,0.006354155160202439,0.20424481064521838,120.3259917999967,428160.0
38,h256_lr0.001,results/hyperparameter_tuning\lstm\runs\h256_lr0.001,lstm,0.001,256,0.00020309491176848725,0.0063972744530534165,0.19335092853875468,0.0026562622673665616,20,regression,20,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,256,1,256,1,256,3,0.005696419358966832,13,0.005745753116286009,0.005133530801678958,0.00020309491176848725,0.0026562622673665616,0.0063972744530534165,0.19335092853875468,200.4147735000006,428160.0
39,h256_lr0.001,results/hyperparameter_tuning\lstm\runs\h256_lr0.001,lstm,0.001,256,0.0003377059753186204,0.006356819329283647,0.20343053966109614,0.002660784024845361,30,regression,30,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,256,1,256,1,256,3,0.005647429065598596,14,0.00567317851548714,0.0051338455912478985,0.0003377059753186204,0.002660784024845361,0.006356819329283647,0.20343053966109614,290.31458979996387,428160.0
40,h256_lr0.01,results/hyperparameter_tuning\lstm\runs\h256_lr0.01,lstm,0.01,256,0.0009701009276308394,0.00669576585724417,0.11638238412438406,0.0018445840784227035,10,regression,10,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,256,1,256,1,256,3,0.005717575233237645,6,0.006294525967738063,0.004276326399494485,0.0009701009276308394,0.0018445840784227035,0.00669576585724417,0.11638238412438406,95.69503080000868,428160.0
41,h256_lr0.01,results/hyperparameter_tuning\lstm\runs\h256_lr0.01,lstm,0.01,256,0.0005110769335799451,0.006705629245903971,0.11371428920874138,0.0017423930069170163,20,regression,20,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,256,1,256,1,256,3,0.005707166890231238,5,0.006313004013364696,0.004116275366377703,0.0005110769335799451,0.0017423930069170163,0.006705629245903971,0.11371428920874138,148.08584290003637,428160.0
42,h256_lr0.01,results/hyperparameter_tuning\lstm\runs\h256_lr0.01,lstm,0.01,256,0.0008825790919898633,0.006685550242925117,0.11891414459325911,0.0016762049121708295,30,regression,30,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,256,1,256,1,256,3,0.0056715869903564455,5,0.006275105516636564,0.004093497240437169,0.0008825790919898633,0.0016762049121708295,0.006685550242925117,0.11891414459325911,195.50416740000946,428160.0
43,h256_lr0.0001,results/hyperparameter_tuning\lstm\runs\h256_lr0.0001,lstm,0.0001,256,0.00022867181438958087,0.006404889581925313,0.19148674820349942,0.003316032785850944,10,regression,10,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,256,1,256,1,256,3,0.005759513591291364,20,0.005759513591291364,0.0056665832071824546,0.00022867181438958087,0.003316032785850944,0.006404889581925313,0.19148674820349942,110.09570599999279,428160.0
44,h256_lr0.0001,results/hyperparameter_tuning\lstm\runs\h256_lr0.0001,lstm,0.0001,256,0.000330646509320555,0.006402098307661264,0.1921339649929401,0.003583907102712864,20,regression,20,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,256,1,256,1,256,3,0.00575442146840142,20,0.00575442146840142,0.005626322135816667,0.000330646509320555,0.003583907102712864,0.006402098307661264,0.1921339649929401,187.26818309997907,428160.0
45,h256_lr0.0001,results/hyperparameter_tuning\lstm\runs\h256_lr0.0001,lstm,0.0001,256,0.0003384712956199843,0.006389707533429967,0.19516681305802575,0.004009465622792614,30,regression,30,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,256,1,256,1,256,3,0.005725701020489777,19,0.005732033068854963,0.005646358263041849,0.0003384712956199843,0.004009465622792614,0.006389707533429967,0.19516681305802575,261.8334004000062,428160.0
46,h256_lr0.0005,results/hyperparameter_tuning\lstm\runs\h256_lr0.0005,lstm,0.0005,256,0.00010830068515002195,0.006355626512243958,0.20387624187382647,0.002676169090293342,10,regression,10,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,256,1,256,1,256,3,0.005671048143244896,17,0.005671255861783458,0.005431359095555909,0.00010830068515002195,0.002676169090293342,0.006355626512243958,0.20387624187382647,109.10431059997063,428160.0
47,h256_lr0.0005,results/hyperparameter_tuning\lstm\runs\h256_lr0.0005,lstm,0.0005,256,0.00010394659739909852,0.006371837391973908,0.1997530262166386,0.0028290825009531645,20,regression,20,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,256,1,256,1,256,3,0.0056959841719232285,14,0.005700151037921988,0.005368397832865239,0.00010394659739909852,0.0028290825009531645,0.006371837391973908,0.1997530262166386,188.93773820000933,428160.0
48,h256_lr0.0005,results/hyperparameter_tuning\lstm\runs\h256_lr0.0005,lstm,0.0005,256,0.00018434549070192472,0.0063467690538570294,0.2059473372695615,0.0027860567808566717,30,regression,30,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,256,1,256,1,256,3,0.005638544003088628,18,0.0056552538990734084,0.005369328905584129,0.00018434549070192472,0.0027860567808566717,0.0063467690538570294,0.2059473372695615,258.0012513999827,428160.0
