model,ECE@25,ECE@50,ECE@75,failure_time,grad_ece_corr,ece_flat
deep_mlp,0.006977892817345,0.006977892817345,0.006977892817345,50,0.4294117647058823,False
lstm,0.00025083041826700004,0.00025083041826700004,0.00037637038885200003,30,-0.12700825010855404,False
mlp,0.0025350025350025,0.0025350025350025,0.0025350025350025,75,,True
residual_mlp,0.0034710034710034,0.0034710034710034,0.0034710034710034,75,,True
vanilla_rnn,0.0001354395062662661,0.00016423790657427162,0.00010543705866439268,20,0.17293233082706763,False
