model,final_ece,final_rmse,final_r2,test_ece,test_accuracy
deep,0.012044281310245925,0.712097106294478,0.9524745095849386,0.011018812940074368,0.9773970398970399
lstm,372.62636116094757,506.18612013129905,-2.3505839888914295,,
mlp,0.02400741260378842,0.6076649374838816,0.950212860551272,0.02319189430870103,0.9844755469755471
residual,57.678103388401496,287.8921993484769,-0.06359552208350423,,
rnn,347.97782094018504,500.23196640288035,-2.2934337327112817,,
