model,calibration_error,final_rmse,final_r2,test_ece,test_accuracy
deep,0.0042138119391338,0.5756131271114344,0.9727720381443952,0.0044666075721824,0.990990990990991
lstm,0.118532969176746,3.1941470077778416,0.1615762833789682,,
mlp,0.0026921576277799,0.454354232114485,0.98303542791121,0.0036688225175218,0.9931359931359932
residual,0.0051111978150604,0.6114080000206658,0.9692803694608396,,
rnn,0.2259461568474444,4.298068235607703,-0.5180999509725337,,
